t	s	i
4.52	0.842345	0.0423454
4.53	0.84227	0.0422696
4.54	0.842194	0.0421939
4.55	0.842118	0.0421184
4.56	0.842043	0.042043
4.57	0.841968	0.0419678
4.58	0.841893	0.0418927
4.59	0.841818	0.0418178
4.6	0.841743	0.041743
4.61	0.841668	0.0416684
4.62	0.841594	0.0415939
4.63	0.84152	0.0415196
4.64	0.841445	0.0414454
4.65	0.841371	0.0413713
4.66	0.841297	0.0412974
4.67	0.841224	0.0412237
4.68	0.84115	0.0411501
4.69	0.841077	0.0410766
4.7	0.841003	0.0410033
4.71	0.84093	0.0409301
4.72	0.840857	0.0408571
4.73	0.840784	0.0407842
4.74	0.840711	0.0407115
4.75	0.840639	0.0406389
4.76	0.840566	0.0405664
4.77	0.840494	0.0404941
4.78	0.840422	0.0404219
4.79	0.84035	0.0403499
4.8	0.840278	0.040278
4.81	0.840206	0.0402063
4.82	0.840135	0.0401347
4.83	0.840063	0.0400632
4.84	0.839992	0.0399919
4.85	0.839921	0.0399207
4.86	0.83985	0.0398497
4.87	0.839779	0.0397788
4.88	0.839708	0.039708
4.89	0.839637	0.0396374
4.9	0.839567	0.0395669
4.91	0.839497	0.0394965
4.92	0.839426	0.0394263
4.93	0.839356	0.0393562
4.94	0.839286	0.0392863
4.95	0.839216	0.0392165
4.96	0.839147	0.0391468
4.97	0.839077	0.0390773
4.98	0.839008	0.0390079
4.99	0.838939	0.0389386
5	0.83887	0.0388695
5.01	0.838801	0.0388005
5.02	0.838732	0.0387317
5.03	0.838663	0.0386629
5.04	0.838594	0.0385944
5.05	0.838526	0.0385259
5.06	0.838458	0.0384576
5.07	0.838389	0.0383894
5.08	0.838321	0.0383213
5.09	0.838253	0.0382534
5.1	0.838186	0.0381856
5.11	0.838118	0.038118
5.12	0.83805	0.0380504
5.13	0.837983	0.037983
5.14	0.837916	0.0379158
5.15	0.837849	0.0378486
5.16	0.837782	0.0377816
5.17	0.837715	0.0377148
5.18	0.837648	0.037648
5.19	0.837581	0.0375814
5.2	0.837515	0.0375149
5.21	0.837449	0.0374486
5.22	0.837382	0.0373823
5.23	0.837316	0.0373162
5.24	0.83725	0.0372503
5.25	0.837184	0.0371844
5.26	0.837119	0.0371187
5.27	0.837053	0.0370531
5.28	0.836988	0.0369876
5.29	0.836922	0.0369223
5.3	0.836857	0.0368571
5.31	0.836792	0.036792
5.32	0.836727	0.0367271
5.33	0.836662	0.0366622
5.34	0.836598	0.0365975
